32,17,88
10,45,3
72,59,98
45,87,4
56,8,71
23,5,90
14,96,32
61,40,79
33,22,64
6,15,51
42,29,61
92,54,19
11,26,76
87,18,67
38,47,50
44,9,37
97,85,3
70,35,29
66,64,87
96,75,54
55,2,31
53,34,81
26,70,51
94,53,72
36,29,9
4,71,22
90,59,36
21,31,79
76,19,89
19,49,46
23,11,74
5,3,39
7,62,77
1,57,17
81,83,43
58,70,32
64,77,13
13,71,40
15,18,93
77,94,19
68,46,25
25,50,65
50,99,67
52,70,95
43,56,64
29,13,77
54,49,33
59,86,60
45,66,86
44,34,92
2,0,16
82,10,74
79,59,8
27,87,1
34,23,48
34,68,13
68,24,11
5,85,6
51,76,29
99,21,63
6,44,61
3,20,36
30,79,20
77,18,15
98,5,51
26,84,23
86,94,12
50,58,74
8,36,39
43,26,74
8,87,41
18,68,39
97,68,7
11,66,84
56,99,16
88,2,82
76,60,58
25,62,52
40,80,50
83,15,70
88,7,14
73,9,85
19,92,95
52,44,98
53,53,58
94,43,35
0,50,71
38,36,19
0,82,2
12,11,61
6,84,79
66,97,36
65,18,7
43,6,86
18,45,9
90,29,24
25,74,12
53,25,95
59,4,73
61,68,11
47,87,17
35,92,61
48,59,22
